iter	Passed	Remaining
0	2	2293
1	11	5544
2	13	4339
3	14	3711
4	17	3489
5	19	3193
6	24	3494
7	26	3290
8	28	3096
9	30	3002
10	32	2888
11	33	2773
12	39	2978
13	41	2909
14	43	2825
15	46	2829
16	47	2773
17	49	2717
18	52	2687
19	53	2644
20	56	2644
21	58	2618
22	66	2836
23	72	2928
24	73	2876
25	76	2876
26	81	2928
27	83	2912
28	86	2897
29	88	2847
30	89	2801
31	91	2757
32	98	2883
33	103	2927
34	104	2882
35	106	2841
36	107	2810
37	110	2809
38	113	2793
39	115	2783
40	117	2753
41	119	2721
42	121	2693
43	122	2664
44	124	2635
45	128	2667
46	130	2637
47	131	2609
48	133	2582
49	134	2559
50	136	2539
51	137	2512
52	139	2491
53	143	2518
54	145	2494
55	146	2472
56	148	2451
57	149	2435
58	152	2434
59	156	2445
60	158	2439
61	160	2420
62	161	2403
63	163	2389
64	167	2415
65	169	2397
66	172	2409
67	174	2395
68	177	2389
69	178	2374
70	180	2360
71	181	2342
72	183	2330
73	185	2319
74	189	2341
75	191	2331
76	193	2317
77	194	2304
78	196	2288
79	197	2274
80	199	2263
81	203	2279
82	204	2262
83	206	2256
84	208	2247
85	210	2237
86	212	2227
87	213	2217
88	215	2205
89	217	2202
90	220	2198
91	222	2194
92	224	2187
93	226	2181
94	227	2171
95	229	2162
96	234	2185
97	236	2174
98	238	2166
99	239	2155
100	241	2147
101	242	2138
102	244	2128
103	245	2117
104	248	2120
105	251	2122
106	253	2113
107	254	2104
108	256	2095
109	257	2085
110	259	2076
111	260	2068
112	264	2078
113	266	2071
114	268	2063
115	270	2058
116	271	2048
117	272	2040
118	274	2032
119	276	2024
120	279	2033
121	281	2024
122	282	2017
123	284	2012
124	286	2004
125	287	1996
126	289	1987
127	290	1982
128	295	1992
129	296	1986
130	298	1980
131	300	1975
132	303	1977
133	305	1973
134	311	1994
135	314	1995
136	316	1991
137	318	1988
138	321	1988
139	327	2010
140	329	2006
141	330	1996
142	332	1992
143	334	1991
144	336	1986
145	342	2005
146	344	2001
147	346	1996
148	349	1994
149	351	1989
150	356	2005
151	358	2001
152	360	1996
153	363	1996
154	365	1992
155	367	1989
156	373	2006
157	376	2003
158	378	2001
159	380	1996
160	381	1987
161	383	1982
162	388	1992
163	390	1988
164	392	1984
165	394	1979
166	395	1974
167	397	1969
168	400	1970
169	404	1976
170	407	1976
171	409	1972
172	411	1967
173	413	1963
174	417	1967
175	421	1973
176	425	1977
177	426	1971
178	428	1966
179	430	1960
180	434	1966
181	435	1959
182	437	1952
183	438	1946
184	442	1947
185	443	1941
186	445	1936
187	447	1934
188	450	1933
189	452	1928
190	453	1922
191	455	1915
192	457	1911
193	459	1907
194	460	1901
195	464	1906
196	466	1901
197	467	1895
198	469	1889
199	470	1882
200	472	1877
201	473	1871
202	475	1865
203	480	1875
204	482	1871
205	484	1868
206	486	1863
207	487	1857
208	489	1851
209	490	1845
210	494	1847
211	496	1845
212	498	1840
213	499	1835
214	501	1829
215	502	1824
216	504	1819
217	506	1815
218	511	1825
219	516	1829
220	519	1832
221	521	1827
222	524	1827
223	526	1824
224	528	1819
225	529	1814
226	531	1809
227	533	1805
228	535	1801
229	536	1796
230	538	1792
231	541	1792
232	542	1787
233	544	1781
234	545	1776
235	547	1771
236	550	1772
237	551	1767
238	556	1770
239	558	1769
240	560	1764
241	562	1760
242	563	1756
243	565	1751
244	566	1746
245	568	1743
246	570	1739
247	572	1735
248	574	1731
249	575	1727
250	577	1722
251	578	1718
252	580	1713
253	583	1713
254	586	1713
255	591	1718
256	592	1713
257	594	1710
258	596	1706
259	600	1708
260	601	1704
261	603	1699
262	604	1694
263	606	1690
264	609	1689
265	610	1685
266	615	1689
267	617	1686
268	619	1683
269	620	1678
270	622	1674
271	624	1670
272	625	1666
273	629	1667
274	631	1665
275	633	1661
276	634	1657
277	636	1652
278	638	1649
279	639	1644
280	641	1640
281	646	1645
282	647	1641
283	649	1636
284	650	1632
285	652	1628
286	653	1624
287	655	1619
288	658	1618
289	665	1628
290	668	1628
291	669	1623
292	671	1620
293	674	1619
294	677	1619
295	679	1614
296	681	1612
297	682	1607
298	684	1603
299	685	1599
300	687	1597
301	691	1597
302	692	1593
303	696	1594
304	697	1590
305	699	1587
306	702	1586
307	704	1582
308	706	1579
309	707	1575
310	709	1572
311	711	1568
312	713	1565
313	715	1563
314	717	1561
315	719	1557
316	721	1553
317	722	1549
318	724	1545
319	725	1541
320	727	1538
321	728	1534
322	732	1536
323	734	1533
324	736	1528
325	737	1524
326	739	1520
327	741	1518
328	743	1515
329	744	1512
330	747	1511
331	749	1507
332	750	1504
333	752	1500
334	754	1497
335	755	1493
336	757	1490
337	758	1486
338	761	1484
339	763	1482
340	765	1479
341	767	1476
342	769	1473
343	771	1470
344	772	1467
345	774	1464
346	779	1467
347	781	1463
348	783	1460
349	784	1457
350	786	1454
351	788	1451
352	792	1451
353	794	1449
354	796	1446
355	799	1445
356	801	1443
357	803	1440
358	805	1438
359	808	1438
360	811	1436
361	814	1434
362	816	1432
363	819	1432
364	829	1442
365	831	1440
366	833	1437
367	835	1434
368	837	1431
369	841	1433
370	843	1430
371	845	1427
372	847	1424
373	849	1421
374	851	1418
375	853	1417
376	856	1415
377	860	1415
378	863	1414
379	865	1411
380	867	1409
381	873	1412
382	875	1411
383	878	1409
384	880	1406
385	882	1403
386	886	1403
387	889	1402
388	890	1399
389	892	1396
390	894	1393
391	895	1389
392	897	1386
393	899	1384
394	903	1383
395	905	1380
396	906	1377
397	908	1373
398	910	1370
399	911	1367
400	913	1365
401	918	1366
402	921	1364
403	922	1361
404	924	1358
405	926	1355
406	927	1352
407	929	1348
408	933	1348
409	935	1345
410	937	1344
411	939	1340
412	940	1337
413	942	1334
414	944	1331
415	946	1328
416	949	1327
417	953	1326
418	954	1323
419	955	1320
420	957	1317
421	959	1313
422	960	1310
423	965	1311
424	967	1308
425	968	1304
426	970	1301
