iter	Passed	Remaining
0	1	152
1	2	138
2	4	130
3	4	119
4	6	116
5	7	114
6	8	112
7	9	111
8	10	110
9	12	108
10	13	107
11	14	106
12	15	104
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	37	82
31	38	81
32	39	80
33	40	79
34	42	78
35	43	77
36	44	75
37	45	74
38	47	73
39	48	72
40	49	71
41	49	68
42	51	67
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	97	22
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
